FormatID,FormatName,FormatVersion,ReleaseDate,ExternalSignature,PUID,MIME,Source
633,Rich Text Format,1.7,2001/08/31,rtf,fmt/52,application/rtf text/rtf,https://web.archive.org/web/20101112181441/http://www.microsoft.com/downloads/en/details.aspx?familyid=E5B8EBC2-6AD6-49F0-8C90-E4F763E3F04F&displaylang=en
614,Acrobat PDF 1.1 - Portable Document Format,1.1,1994/11,pdf,fmt/15,application/pdf,https://www.prepressure.com/pdf/basics/version
352,Microsoft Access Database File,2000,1999/06/10,mdb mde,x-fmt/240,application/msaccess,https://microsoft.fandom.com/wiki/Microsoft_Office_2000
929,Ogg Vorbis Codec Compressed Multimedia File,,2000/05/08,ogg,fmt/203,audio/ogg,https://lists.xiph.org/pipermail/vorbis-dev/2000-May/000201.html
19,dBASE Database,III,1984,dbf,x-fmt/9,application/dbf,https://www.dosdays.co.uk/topics/Software/dbase.php
729,Windows Bitmap,3.0,1990,dib bmp,fmt/116,image/bmp,
626,Rich Text Format,1.0-1.4,1987,rtf,fmt/45,application/rtf text/rtf,http://support.microsoft.com/kb/924944
1909,High Efficiency Image File Format,,2015/10,heic,fmt/1101,image/heif,http://mpeg.chiariglione.org/sites/default/files/files/meetings/docs/w15328.docx
1371,Vector Markup Language,,1998/05/13,vml html htm,fmt/583,,https://www.w3.org/TR/1998/NOTE-VML-19980513
331,Encapsulated PostScript File Format,3,01 May 1992,eps epsf ps,fmt/124,application/postscript,https://www.nationalarchives.gov.uk/PRONOM/fmt/124
1709,Bluetooth Snoop Packet Capture,,2013/10/31,log,fmt/904,,https://source.android.com/docs/core/connect/bluetooth/verifying_debugging
375,Microsoft Publisher,2002,2002/05/31,pub,x-fmt/257,application/x-mspublisher,https://microsoft.fandom.com/wiki/Microsoft_Office_XP
820,MHTML,,1999/03,mht mhtml,x-fmt/429,multipart/related,https://datatracker.ietf.org/doc/html/rfc2557
444,CorelDraw Drawing,7.0,1998/05,cdr,x-fmt/291,,https://openlibrary.org/books/OL13267050M/CorelDRAW_7.0
1227,Microsoft Project,2007,2006/04,mpp,fmt/440,application/vnd.ms-project,https://download.microsoft.com/documents/uk/mediumbusiness/products/desktopsoftware/projectstandard2007productguide.pdf
996,Microsoft Works Word Processor 5-6,,2000,wps,fmt/258,,https://winworldpc.com/product/microsoft-works/5x
1428,Microsoft PowerPoint Show,2007,2007/01/30,ppsx,fmt/629,application/vnd.openxmlformats-officedocument.presentationml.slideshow,https://microsoft.fandom.com/wiki/Microsoft_Office_2007
1136,Internet Calendar and Scheduling format,,1998,ics,fmt/388,text/calendar,https://icalendar.org/
1289,Bentley V8 DGN,,2000,dgn,fmt/502,,https://web.archive.org/web/20120713013730/http://docs.bentley.com/ko/MicroStation/ustnhelp47.html
751,Exchangeable Image File Format (Compressed),2.0,1997/11,jpg jpeg,x-fmt/398,image/jpeg,https://www.cipa.jp/std/documents/e/DC-008-2012_E.pdf
808,Text Configuration file,,1970,ini,x-fmt/421,,https://en.wikipedia.org/wiki/Configuration_file
1352,Adobe Illustrator,15.0,2010/04/30,ai pdf,fmt/564,application/postscript,https://archive.org/details/adobe-illustrator-cs5-15.0.2-for-windows-update-only
1456,Open XML Paper Specification,,2006/12/07,xps oxps,fmt/657,application/oxps,https://news.microsoft.com/2006/12/07/ecma-international-approves-office-open-xml-as-worldwide-industry-standard/
1092,MPEG 1/2 Audio Layer I,,1991/12/06,mp1,fmt/347,audio/mpeg,https://dl.acm.org/doi/10.1145/166266.166274
1808,Nearly Raw Raster Data,2,1998,nrrd,fmt/1003,,https://teem.sourceforge.net/nrrd/intro.html
921,Adobe InDesign Document,CS,2003/09,indd ind indt,fmt/196,,https://adobe.fandom.com/wiki/Adobe_Creative_Suite
1336,Adobe InDesign Document,CS2,2005/02/23,ind indd indt,fmt/548,,https://archive.org/details/adobe-photoshop-cs2
1337,Adobe InDesign Document,CS3,2007/03/21,ind indd indt,fmt/549,,https://archive.org/details/Adobe_Photoshop-CS3/resources/media/img/progbarRight.png
1338,Adobe InDesign Document,CS4,2008/10/15,ind indd indt,fmt/550,,https://adobe.fandom.com/wiki/Adobe_Creative_Suite_4
1339,Adobe InDesign Document,CS5,2010/04/30,ind indd indt,fmt/551,,https://www.pcworld.com/article/195330/adobe_creative_suite_5_starts_shipping.html
1340,Adobe InDesign Document,CS6,2012/03/21,ind indd indt,fmt/552,,https://web.archive.org/web/20120322190250/http://labs.adobe.com/downloads/photoshopcs6.html
1036,OpenDocument Presentation,1.2,2011/09/29,odp otp,fmt/293,application/vnd.oasis.opendocument.presentation,https://docs.oasis-open.org/office/v1.2/OpenDocument-v1.2.pdf
727,Windows Bitmap,1.0,1990,ddb bmp,fmt/114,image/bmp,https://online-omzetten.nl/dateiformat/bmp/
728,Windows Bitmap,2.0,1990,bmp dib,fmt/115,image/bmp,
730,Windows Bitmap,3.0 NT,1990,dib bmp,fmt/117,image/bmp,
731,Windows Bitmap,4.0,1990,bmp dib,fmt/118,image/bmp,
732,Windows Bitmap,5.0,1990,bmp dib,fmt/119,image/bmp,
402,OS/2 Bitmap,2.0,1992/03/02,bmp,x-fmt/270,image/bmp,https://os-2.in/
927,Nikon Digital SLR Camera Raw Image File,,1995,nef nrw,fmt/202,,https://www.kenrockwell.com/nikon/dslr.htm
1592,RPM Package Manager file,1,1995/09,rpm src.rpm,fmt/793,,https://rpm.org/timeline.html
1593,RPM Package Manager file,2,1996/03/05,rpm src.rpm,fmt/794,,https://rpm.org/timeline.html
1594,RPM Package Manager file,3,1999/04/19,rpm src.rpm,fmt/795,,https://rpm.org/timeline.html
810,JavaScript file,,1996/05/29,js,x-fmt/423,application/javascript,https://news.microsoft.com/source/1996/05/29/microsoft-internet-explorer-3-0-beta-now-available/
256,RealAudio Metafile,,1995/04,ram,x-fmt/183,audio/vnd.rn-realaudio audio/x-pn-realaudio,https://docs.fileformat.com/audio/ra/
648,Macromedia Flash,3,1998/04,swf,fmt/106,application/x-shockwave-flash,https://archive.org/details/macromedia_flash3_zflw30cd
263,RealMedia,,1995/04/15,rm rmvb,x-fmt/190,application/vnd.rn-realmedia,https://25yearsofstreaming.com/
649,Macromedia Flash,4,1999-06,swf,fmt/107,application/x-shockwave-flash,https://archive.org/details/macromedia_flash4_zflwin40cd
1704,Windows Portable Executable,32 bit,1993/07/25,exe dll sys,fmt/899,application/vnd.microsoft.portable-executable,https://winworldpc.com/product/windows-nt-3x/31
51,7-bit ASCII Text,,1967,asc,x-fmt/22,text/plain,https://textfiles.meulie.net/bitsaved/Books/Mackenzie_CodedCharSets.pdf
434,8-bit ASCII Text,,1981,asc,x-fmt/283,text/plain,https://theasciicode.com.ar/ascii-printable-characters/number-eight-ascii-code-56.html
1384,Canon RAW,2.0,1992,cr2,fmt/592,,https://global.canon/en/c-museum/history/story08.html
1318,AutoCAD Drawing,2013/2014,2012/03/27,dwg,fmt/531,image/vnd.dwg,https://en.wikipedia.org/wiki/AutoCAD_version_history
925,Material Exchange Format,Operational Pattern 1a,2004/09/22,mxf,fmt/200,application/mxf,https://en.wikipedia.org/wiki/Material_Exchange_Format
